Time (s),Temp (°C),Error,Control Input
563.0000,12.7488,12.2512,9.8010
564.0000,12.7439,12.2561,9.8049
565.0000,12.7390,12.2610,9.8088
566.0000,12.7341,12.2659,9.8127
567.0000,12.7292,12.2708,9.8166
568.0000,12.7243,12.2757,9.8205
569.0000,12.7195,12.2805,9.8244
570.0000,12.7147,12.2853,9.8283
571.0000,12.7099,12.2901,9.8321
572.0000,12.7051,12.2949,9.8359
573.0000,12.7003,12.2997,9.8398
574.0000,12.6955,12.3045,9.8436
575.0000,12.6908,12.3092,9.8474
576.0000,12.6860,12.3140,9.8512
577.0000,12.6813,12.3187,9.8550
578.0000,12.6766,12.3234,9.8587
579.0000,12.6719,12.3281,9.8625
580.0000,12.6672,12.3328,9.8662
581.0000,12.6625,12.3375,9.8700
582.0000,12.6579,12.3421,9.8737
583.0000,12.6533,12.3467,9.8774
584.0000,12.6486,12.3514,9.8811
585.0000,12.6440,12.3560,9.8848
586.0000,12.6394,12.3606,9.8885
587.0000,12.6348,12.3652,9.8921
588.0000,12.6303,12.3697,9.8958
589.0000,12.6257,12.3743,9.8994
590.0000,12.6212,12.3788,9.9031
591.0000,12.6166,12.3834,9.9067
592.0000,12.6121,12.3879,9.9103
593.0000,12.6076,12.3924,9.9139
594.0000,12.6031,12.3969,9.9175
595.0000,12.5986,12.4014,9.9211
596.0000,12.5942,12.4058,9.9247
597.0000,12.5897,12.4103,9.9282
598.0000,12.5853,12.4147,9.9318
599.0000,12.5809,12.4191,9.9353
600.0000,12.5765,12.4235,9.9388
601.0000,12.5721,12.4279,9.9423
602.0000,12.5677,12.4323,9.9459
603.0000,12.5633,12.4367,9.9493
604.0000,12.5590,12.4410,9.9528
605.0000,12.5546,12.4454,9.9563
606.0000,12.5503,12.4497,9.9598
607.0000,12.5460,12.4540,9.9632
608.0000,12.5417,12.4583,9.9667
609.0000,12.5374,12.4626,9.9701
610.0000,12.5331,12.4669,9.9735
611.0000,12.5288,12.4712,9.9769
612.0000,12.5246,12.4754,9.9803
613.0000,12.5203,12.4797,9.9837
614.0000,12.5161,12.4839,9.9871
615.0000,12.5119,12.4881,9.9905
616.0000,12.5077,12.4923,9.9938
617.0000,12.5035,12.4965,9.9972
618.0000,12.4993,12.5007,10.0005
619.0000,12.4952,12.5048,10.0039
620.0000,12.4910,12.5090,10.0072
621.0000,12.4869,12.5131,10.0105
622.0000,12.4827,12.5173,10.0138
623.0000,12.4786,12.5214,10.0171
624.0000,12.4745,12.5255,10.0204
625.0000,12.4704,12.5296,10.0237
626.0000,12.4664,12.5336,10.0269
627.0000,12.4623,12.5377,10.0302
628.0000,12.4582,12.5418,10.0334
629.0000,12.4542,12.5458,10.0366
630.0000,12.4502,12.5498,10.0399
631.0000,12.4461,12.5539,10.0431
632.0000,12.4421,12.5579,10.0463
633.0000,12.4381,12.5619,10.0495
634.0000,12.4342,12.5658,10.0527
635.0000,12.4302,12.5698,10.0558
636.0000,12.4262,12.5738,10.0590
637.0000,12.4223,12.5777,10.0622
638.0000,12.4184,12.5816,10.0653
639.0000,12.4144,12.5856,10.0684
640.0000,12.4105,12.5895,10.0716
641.0000,12.4066,12.5934,10.0747
642.0000,12.4027,12.5973,10.0778
643.0000,12.3989,12.6011,10.0809
644.0000,12.3950,12.6050,10.0840
645.0000,12.3912,12.6088,10.0871
646.0000,12.3873,12.6127,10.0901
647.0000,12.3835,12.6165,10.0932
648.0000,12.3797,12.6203,10.0963
649.0000,12.3759,12.6241,10.0993
650.0000,12.3721,12.6279,10.1023
651.0000,12.3683,12.6317,10.1054
652.0000,12.3645,12.6355,10.1084
653.0000,12.3608,12.6392,10.1114
654.0000,12.3570,12.6430,10.1144
655.0000,12.3533,12.6467,10.1174
656.0000,12.3495,12.6505,10.1204
657.0000,12.3458,12.6542,10.1233
658.0000,12.3421,12.6579,10.1263
659.0000,12.3384,12.6616,10.1293
660.0000,12.3347,12.6653,10.1322
661.0000,12.3311,12.6689,10.1351
662.0000,12.3274,12.6726,10.1381
663.0000,12.3238,12.6762,10.1410
664.0000,12.3201,12.6799,10.1439
665.0000,12.3165,12.6835,10.1468
666.0000,12.3129,12.6871,10.1497
667.0000,12.3093,12.6907,10.1526
668.0000,12.3057,12.6943,10.1555
669.0000,12.3021,12.6979,10.1583
670.0000,12.2985,12.7015,10.1612
671.0000,12.2950,12.7050,10.1640
672.0000,12.2914,12.7086,10.1669
673.0000,12.2879,12.7121,10.1697
674.0000,12.2843,12.7157,10.1725
675.0000,12.2808,12.7192,10.1753
676.0000,12.2773,12.7227,10.1781
677.0000,12.2738,12.7262,10.1809
678.0000,12.2703,12.7297,10.1837
679.0000,12.2669,12.7331,10.1865
680.0000,12.2634,12.7366,10.1893
681.0000,12.2599,12.7401,10.1921
682.0000,12.2565,12.7435,10.1948
683.0000,12.2530,12.7470,10.1976
684.0000,12.2496,12.7504,10.2003
685.0000,12.2462,12.7538,10.2030
686.0000,12.2428,12.7572,10.2058
687.0000,12.2394,12.7606,10.2085
688.0000,12.2360,12.7640,10.2112
689.0000,12.2326,12.7674,10.2139
690.0000,12.2293,12.7707,10.2166
691.0000,12.2259,12.7741,10.2193
692.0000,12.2226,12.7774,10.2219
693.0000,12.2192,12.7808,10.2246
694.0000,12.2159,12.7841,10.2273
